2011 National Household Survey Data on the Labour Market Outcomes of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,OCCUPATION,TOTAL_LABOUR FORCE,IN_THE LABOUR FORCE,EMPLOYED,UNEMPLOYED,NOT_IN_THE LABOUR FORCE,Employment_rate%,Unemployment rate%,Out_of_Labour_Force%,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,1472 Storekeepers and parts clerks,35,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,5244 Artisans and craftspersons,35,35,30,0,0,0.86,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"6221 Technical sales specialists, wholesale trade/6234 Grain elevator operators",35,35,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7241 Electricians (except industrial and power system),35,35,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7421 Heavy equipment operators (except crane),35,35,30,0,0,0.86,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7452 Material handlers,35,35,35,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"1453 Customer service, information and related clerks",30,30,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,3414 Other assisting occupations in support of health services,30,25,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,4214 Early childhood educators and assistants,30,30,30,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,6453 Food and beverage servers,30,25,25,0,0,0.83,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"0611 Sales, marketing and advertising managers",25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,1422 Data entry clerks,25,25,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,6651 Security guards and related occupations/6465 Other protective service occupations,25,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7612 Other trades helpers and labourers,25,20,25,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"0016 Senior managers - goods production, utilities, transportation and construction",20,20,15,0,0,0.75,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,1232 Loan officers,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,8254 Nursery and greenhouse operators and managers,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,8432 Nursery and greenhouse workers,20,20,20,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"9617 Labourers in food, beverage and tobacco processing",20,20,0,0,0,0.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,1225 Purchasing agents and officers,15,10,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,2263 Inspectors in public and environmental health and occupational health and safety,15,15,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,3212 Medical laboratory technicians,15,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"5254 Program leaders and instructors in recreation, sport and fitness",15,20,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,6622 Grocery clerks and store shelf stockers,15,15,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7444 Pest controllers and fumigators,15,15,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"9213 Supervisors, food, beverage and tobacco processing",15,15,10,0,0,0.67,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"9465 Testers and graders, food and beverage processing",15,15,15,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,"9482 Motor vehicle assemblers, inspectors and testers",15,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,4122 Post-secondary teaching and research assistants,10,0,0,0,0,0.00,Not availableDIV/0!,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, agricultural operations and related sciences",FOS1011,7265 Welders and related machine operators,10,15,15,0,0,1.50,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,Total - Occupation (2006 NOC - HRSDC),11910,11015,10060,955,895,0.84,0.09,0.08,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,8251 Farmers and farm managers,1275,1275,1275,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,2225 Landscape and horticultural technicians and specialists,480,455,430,25,25,0.90,0.05,0.05,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,8612 Landscaping and grounds maintenance labourers,435,415,350,65,0,0.80,0.16,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,8431 General farm workers,405,385,350,30,25,0.86,0.08,0.06,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,6421 Retail salespersons and sales clerks,335,310,300,0,20,0.90,0.00,0.06,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,2223 Forestry technologists and technicians,330,330,270,65,0,0.82,0.20,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,2211 Chemical technologists and technicians,265,255,245,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,"8255 Landscaping and grounds maintenance contractors and managers/8256 Supervisors, landscape and horticulture",240,240,210,0,0,0.88,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,2221 Biological technologists and technicians,215,205,190,15,0,0.88,0.07,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,3213 Veterinary and animal health technologists and technicians,215,215,210,0,0,0.98,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,7411 Truck drivers,185,180,90,95,0,0.49,0.53,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,1225 Purchasing agents and officers,145,145,110,0,0,0.76,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,2224 Conservation and fishery officers,145,145,140,10,0,0.97,0.07,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,1411 General office clerks,140,135,115,20,0,0.82,0.15,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,"6663 Janitors, caretakers and building superintendents",135,135,120,20,0,0.89,0.15,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,0621 Retail trade managers,130,130,95,40,0,0.73,0.31,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,7271 Carpenters,130,125,95,35,0,0.73,0.28,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,"4161 Natural and applied science policy researchers, consultants and program officers",120,120,110,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,"6641 Food counter attendants, kitchen helpers and related occupations",120,120,110,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,1221 Administrative officers,115,115,115,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,7311 Construction millwrights and industrial mechanics (except textile)/7317 Textile machinery mechanics and repairers,115,120,115,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,2263 Inspectors in public and environmental health and occupational health and safety,105,100,100,0,0,0.95,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,"6411 Sales representatives, wholesale trade (non-technical)",95,90,85,0,0,0.89,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,7312 Heavy-duty equipment mechanics,90,85,85,0,0,0.94,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,7611 Construction trades helpers and labourers,90,95,90,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,8231 Underground production and development miners,90,85,80,0,0,0.89,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,8252 Agricultural and related service contractors and managers/8253 Farm supervisors and specialized livestock workers,90,90,90,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,2233 Industrial engineering and manufacturing technologists and technicians,75,80,75,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,6483 Pet groomers and animal care workers,75,75,75,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,4212 Community and social service workers,70,70,65,0,0,0.93,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,8422 Silviculture and forestry workers,70,75,60,10,0,0.86,0.13,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,"2123 Agricultural representatives, consultants and specialists",65,60,60,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,2222 Agricultural and fish products inspectors,65,65,60,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,7421 Heavy equipment operators (except crane),65,60,45,0,0,0.69,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,0721 Facility operation and maintenance managers,60,60,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,1241 Secretaries (except legal and medical),60,55,55,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,2212 Geological and mineral technologists and technicians,60,60,55,0,0,0.92,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,4214 Early childhood educators and assistants,60,55,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,7383 Other trades and related occupations/7382 Commercial divers/7266 Blacksmiths and die setters,60,60,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,7414 Delivery and courier service drivers,60,60,60,0,0,1.00,0.00,0.00,,
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, natural resources and conservation",FOS101,1231 Bookkeepers,55,55,55,0,0,1.00,0.00,0.00,,
