"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"1786552361","09/11/15","NanYang Americas Qualifiers","paiN","ROOT 2","DIRE","LB Quarterfinals","1","69.53","31 - 25"
"1784131176","09/10/15","NanYang Americas Qualifiers","uG","Fire","DIRE","LB Round of 16","1","26.03","4 - 10"
"1782181262","09/09/15","NanYang Americas Qualifiers","Sector V","DC","DIRE","UB Semifinals","2","24.42","2 - 30"
"1782126926","09/09/15","NanYang Americas Qualifiers","Sector V","DC","DIRE","UB Semifinals","1","38.20","12 - 39"
"1781914268","09/09/15","The Defense 5 Qualifiers","Liquid","nt123","RADIANT","Group Stage","1","36.47","38 - 23"
"1781768033","09/09/15","The Defense 5 Qualifiers","SFZ","ATN","RADIANT","Group Stage","2","77.45","49 - 42"
"1781681086","09/09/15","The Defense 5 Qualifiers","SFZ","ATN","RADIANT","Group Stage","1","35.85","43 - 11"
"1780066703","09/08/15","NanYang Americas Qualifiers","paiN","Fire","RADIANT","UB Quarterfinals","2","42.95","34 - 21"
"1780002915","09/08/15","NanYang Americas Qualifiers","paiN","Fire","RADIANT","UB Quarterfinals","1","52.93","23 - 14"
"1779901636","09/08/15","NanYang Americas Qualifiers","uG","C9","DIRE","UB Quarterfinals","2","31.12","6 - 17"
"1779859419","09/08/15","NanYang Americas Qualifiers","uG","C9","DIRE","UB Quarterfinals","1","22.93","2 - 12"
"1779825146","09/08/15","The Defense 5 Qualifiers","SFZ","DB  3","RADIANT","Group Stage","2","30.23","37 - 16"
"1779772841","09/08/15","The Defense 5 Qualifiers","SFZ","DB  3","RADIANT","Group Stage","1","28.27","38 - 10"
"1779686587","09/08/15","The Defense 5 Qualifiers","LD","ATN","DIRE","Group Stage","2","39.17","15 - 37"
"1779566867","09/08/15","The Defense 5 Qualifiers","LD","ATN","DIRE","Group Stage","1","42.63","16 - 30"
"1777954143","09/07/15","NanYang Americas Qualifiers","VB","Sector V","DIRE","UB Quarterfinals","3","37.87","22 - 18"
"1777909754","09/07/15","NanYang Americas Qualifiers","VB","Sector V","RADIANT","UB Quarterfinals","2","25.43","23 - 2"
"1777849251","09/07/15","NanYang Americas Qualifiers","VB","Sector V","DIRE","UB Quarterfinals","1","34.73","12 - 22"
